Date,Hours,Type,Status,ClientName,id,SecurityName,Symbol,Price,Country,Quantity,Comment,Portfolio
20220823,09:01:00,Manual,Success,REDA,1,Procter & Gamble,PG,146.22,United States,124,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,2,Home Depot,HD,309.19,United States,212,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,3,Wells Fargo,WFC,44.59,United States,1024,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,4,China Construction Bank,601939.SS ,0.79,China,27,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,5,Royal Bank Of Canada,RY,94.59,Canada,648,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,6,PayPal,PYPL,95.34,United States,964,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,7,Anheuser-Busch Inbev,BUD,52.32,Belgium,574,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,8,Sony,SONY,84.46,Japan,872,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,9,British American Tobacco,BTI,40.86,United Kingdom,428,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,10,Deutsche Telekom,DTE.DE,18.71,Germany,234,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,11,Glencore,GLCNF,5.91,Switzerland,124,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,12,Hindustan Unilever,HINDUNILVR.NS,32.45,India,254,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,13,Air Liquide,AI.PA ,132.04,France,145,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,14,Mitsubishi UFJ Financial,MUFG,5.3,Japan,487,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,15,Iberdrola,IBE.MC ,10.92,Spain,721,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,16,Atlassian,TEAM,260.87,Australia,483,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,17,Illinois Tool Works,LRCX,205.69,United States,341,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,18,Walmex,EQIX,676.25,United States,211,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,19,Schlumberger,SLB,39.37,United States,24,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,20,London Stock Exchange, LS4C.F,98.73, United Kingdom,725,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,21,Pernod Ricard,RI.PA,191.63,France,574,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,22,Alimentation Couche-Tard, ATD.TO,45.39,Canada,234,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,23,Chipotle Mexican Grill,CMG,1647.42,United States,19,,COM_USD_HW
20220823,09:01:00,Manual,Success,REDA,24,Deutsche Post,DPW.DE,37.34,Germany,452,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,25,Microsoft,MSFT,277.06,United States,265,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,26,Alphabet (Google),GOOG,115.59,United States,512,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,27,Tesla,TSLA,904.12,United States,254,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,29,TSMC,TSM,85.88,Taiwan,412,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,30,Meta Platforms (Facebook),META,164.08,United States,851,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,31,Procter & Gamble,PG,146.22,United States,234,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,32,Home Depot,HD,309.19,United States,124,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,33,Wells Fargo,WFC,44.59,United States,254,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,34,China Construction Bank,601939.SS ,0.79,China,145,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,35,Royal Bank Of Canada,RY,94.59,Canada,487,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,36,PayPal,PYPL,95.34,United States,721,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,37,Anheuser-Busch Inbev,BUD,52.32,Belgium,483,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,38,Sony,SONY,84.46,Japan,341,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,39,British American Tobacco,BTI,40.86,United Kingdom,211,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,40,Deutsche Telekom,DTE.DE,18.71,Germany,24,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,41,Glencore,GLCNF,5.91,Switzerland,452,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,42,Hindustan Unilever,HINDUNILVR.NS,32.45,India,265,,COM_USD_HW
20220823,09:01:00,Manual,Success,FIDO,43,Air Liquide,AI.PA ,132.04,France,512,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,44,Mitsubishi UFJ Financial,MUFG,5.3,Japan,254,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,45,Iberdrola,IBE.MC ,10.92,Spain,125,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,46,Atlassian,TEAM,260.87,Australia,412,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,47,Illinois Tool Works,LRCX,205.69,United States,487,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,48,Walmex,EQIX,676.25,United States,721,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,49,Schlumberger,SLB,39.37,United States,483,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,50,London Stock Exchange, LS4C.F,98.73, United Kingdom,341,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,51,Pernod Ricard,RI.PA,191.63,France,211,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,52,Alimentation Couche-Tard, ATD.TO,45.39,Canada,24,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,53,Chipotle Mexican Grill,CMG,1647.42,United States,725,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,54,Deutsche Post,DPW.DE,37.34,Germany,574,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,55,Microsoft,MSFT,277.06,United States,234,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,56,Alphabet (Google),GOOG,115.59,United States,19,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,57,Tesla,TSLA,904.12,United States,452,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,59,TSMC,TSM,85.88,Taiwan,254,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,60,Meta Platforms (Facebook),META,164.08,United States,145,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,61,Atlassian,TEAM,260.87,Australia,483,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,62,Illinois Tool Works,LRCX,205.69,United States,341,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,63,Walmex,EQIX,676.25,United States,211,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,64,Schlumberger,SLB,39.37,United States,24,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,65,London Stock Exchange, LS4C.F,98.73, United Kingdom,725,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,66,Pernod Ricard,RI.PA,191.63,France,574,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,67,Alimentation Couche-Tard, ATD.TO,45.39,Canada,234,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,68,Chipotle Mexican Grill,CMG,1647.42,United States,19,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,69,Deutsche Post,DPW.DE,37.34,Germany,452,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,70,Microsoft,MSFT,277.06,United States,265,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,71,Alphabet (Google),GOOG,115.59,United States,512,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,72,Tesla,TSLA,904.12,United States,254,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,74,TSMC,TSM,85.88,Taiwan,412,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,75,Meta Platforms (Facebook),META,164.08,United States,851,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,76,Procter & Gamble,PG,146.22,United States,234,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,77,Home Depot,HD,309.19,United States,124,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,78,Wells Fargo,WFC,44.59,United States,254,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,79,China Construction Bank,601939.SS ,0.79,China,145,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,80,Royal Bank Of Canada,RY,94.59,Canada,487,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,81,PayPal,PYPL,95.34,United States,721,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,82,Anheuser-Busch Inbev,BUD,52.32,Belgium,483,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,83,Sony,SONY,84.46,Japan,341,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,84,British American Tobacco,BTI,40.86,United Kingdom,211,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,85,Deutsche Telekom,DTE.DE,18.71,Germany,24,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,86,Glencore,GLCNF,5.91,Switzerland,452,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,87,Hindustan Unilever,HINDUNILVR.NS,32.45,India,265,,COM_USD_HW
20220823,09:04:00,Manual,Success,FIDO,88,Hindustan Unilever,HINDUNILVR.NS,32.45,India,254,,COM_USD_HW
